gem_id,gem_parent_id,source_language,target_language,source,target,references
wikilingua_crosslingual-train-2561062,wikilingua_crosslingual-train-2561062,fr,en,"Relevez vos frites de patates douces avec du sel, du poivre ou encore un mélange d’épices de votre choix. Servez‑les avec du ketchup, de la mayonnaise, du guacamole  ou l’une de vos propres recettes. S’il vous reste des frites, conservez‑les au réfrigérateur dans un récipient hermétiquement fermé. Vous pouvez ainsi les garder jusqu’à cinq jours.","Season the fries with salt, if desired, and serve them.","['Season the fries with salt, if desired, and serve them.']"
wikilingua_crosslingual-train-2561080,wikilingua_crosslingual-train-2561080,fr,en,"Comme vous n’avez jamais été embrassé, vous pourrez avoir des difficultés à détecter les indices dans sa communication non verbale. Vous pourriez dire par exemple :   « l’unique chose que je désire en ce moment est de t’embrasser », « je veux te prouver à quel point tu comptes à mes yeux », « puis-je te donner un baiser de bonne nuit ? »",Go ahead and ask. Be creative and ask in a way that puts her at ease.,['Go ahead and ask. Be creative and ask in a way that puts her at ease.']
wikilingua_crosslingual-train-2561136,wikilingua_crosslingual-train-2561136,fr,en,120 à 180 ml de bière légère (Corona est un bon choix) ; 240 ml de téquila gold (la version blanco ne se mélange pas bien à la bière) ; du triple sec selon vos préférences (plus il est sucré et mieux c’est) ; le jus d’un quart ou d’un demi-citron vert ; 1 cuillère à soupe de sucre ; de l’eau gazeuse ; de la glace pilée.,Gather your ingredients:,['Gather your ingredients:']
wikilingua_crosslingual-train-2561138,wikilingua_crosslingual-train-2561138,fr,en,Positionnez une demi-grenade au-dessus d’un bol en orientant les graines exposées vers le bas. Tenez-la par le côté ou posez-la sur votre paume et écartez les doigts. Utilisez un bol moyen ou grand. Il doit être suffisamment grand pour que tous les arilles tombent à l’intérieur.,"Place one half, seed side down, over a bowl.","['Place one half, seed side down, over a bowl.']"
wikilingua_crosslingual-train-2561148,wikilingua_crosslingual-train-2561148,fr,en,"Pliez la corde de gauche de façon à ce que l’extrémité croise le milieu en formant une boucle.   Commencez avec un lien dans chaque main (comme dans la première méthode) et repliez celui de gauche sur lui-même pour obtenir une boucle assez grande. Cette méthode permet de réaliser un nœud identique à celui dans la méthode ci-dessus. Là aussi, vous pouvez commencer par réaliser la boucle avec la corde de droite et inverser les côtés dans toutes les étapes pour obtenir le même résultat.",Double up the left-hand rope to make a loop.,['Double up the left-hand rope to make a loop.']
wikilingua_crosslingual-train-2561222,wikilingua_crosslingual-train-2561222,fr,en,"Vous pouvez acheter cela dans la pharmacie de votre localité, dans les boutiques d’art et d’artisanat ou chez un vendeur en détail de produits soldés. Veillez à vous procurer un marqueur effaçable à sec noir et non un feutre en couleur. N’oubliez pas de faire d’abord l’essai sur une petite partie discrète avant de l’appliquer sur les grands espaces affectés.",Purchase a black dry erase marker.,['Purchase a black dry erase marker.']
wikilingua_crosslingual-train-2561242,wikilingua_crosslingual-train-2561242,fr,en,"C'est à vous de décider si vous voulez un bouton en pierre ou en bois. Choisissez le matériau qui vous convient.  Les pierres se trouvent en creusant le sol. Dans ce cas, vous aurez besoin d'une pioche Silk touch. Sinon, il suffit de creuser pour trouver des gravats, vous les mettez au four et vous obtenez de la pierre. Les planches en bois sont fabriquées avec… du bois.",Get one stone or one wood plank.,['Get one stone or one wood plank.']
wikilingua_crosslingual-train-2561272,wikilingua_crosslingual-train-2561272,fr,en,"La pâte à frire à la bière est lisse et croustillante. Elle est parfaite pour les beignets de poisson, d’ognon et d’autres légumes. Assurez-vous que tous les morceaux que vous allez faire cuire font à peu près la même taille afin d’obtenir une cuisson homogène.",Prepare the food you want to fry.,['Prepare the food you want to fry.']
wikilingua_crosslingual-train-2561724,wikilingua_crosslingual-train-2561724,fr,en,"Par exemple, si vous gagnez 200 € en vendant 100 canettes de soda et que leur cout de revient était de 100 €, votre profit brut sera de 100 €. Multipliez ce nombre par 100 pour obtenir un pourcentage, plutôt qu'un nombre à virgules. Par exemple, divisez 100 € par 100 € et vous obtiendrez 1. Si vous multipliez par 100, vous obtiendrez un pourcentage de profit brut de 100 pour cent.",Subtract the cost of goods sold from the total revenue generated by the goods. Divide the gross profit by the cost of goods sold.,['Subtract the cost of goods sold from the total revenue generated by the goods. Divide the gross profit by the cost of goods sold.']
wikilingua_crosslingual-train-2561730,wikilingua_crosslingual-train-2561730,fr,en,"En utilisation régulière, l'huile d'argan peut réduire les effets du vieillissement cutané. Massez simplement l'huile sur votre visage et vous verrez votre peau se régénérer au fil du temps. Pour faire disparaitre une cicatrice, massez doucement votre peau avec de l'huile d'argan. Vous devrez alors vous assurer que l'huile que vous utilisez est pure . En appliquant une bonne quantité d'huile d'argan sur les zones de votre corps où vous avez des vergetures, celles-ci seront de moins en moins visibles .",Apply argan oil to wrinkles to hydrate the skin and reduce wrinkles. Heal damaged skin with argan oil. Use argan oil to treat stretch marks.,['Apply argan oil to wrinkles to hydrate the skin and reduce wrinkles. Heal damaged skin with argan oil. Use argan oil to treat stretch marks.']
wikilingua_crosslingual-train-2561860,wikilingua_crosslingual-train-2561860,fr,en,"Massez doucement chaque partie de votre visage une nouvelle fois avant de terminer le massage. À la fin, vous devriez vous sentir plus calme et détendu.",Finish by going back over each area once more.,['Finish by going back over each area once more.']
wikilingua_crosslingual-train-2561912,wikilingua_crosslingual-train-2561912,fr,en,Vous devez voir l'envers du papier et son endroit (la face décorée) doit être posé sur la table.,Lay the paper down on its decorative side.,['Lay the paper down on its decorative side.']
wikilingua_crosslingual-train-2561998,wikilingua_crosslingual-train-2561998,fr,en,"Prenez une brique de jus de fruits ou de lait. Pour faire une voiture plus jolie, peignez-la avec de la peinture acrylique ou couvrez-la avec un ruban adhésif de couleur . Vérifiez bien que le carton de votre brique est en état d’être utilisé.",Get a small juice box.,['Get a small juice box.']
wikilingua_crosslingual-train-2562116,wikilingua_crosslingual-train-2562116,fr,en,"Pour cette technique, vous aurez besoin de deux ou trois trucs en plus, mais cette pipe est facile à faire et les résultats sont plus sympas.","Get an apple, a knife, a spoon and a pencil.","['Get an apple, a knife, a spoon and a pencil.']"
wikilingua_crosslingual-train-2562226,wikilingua_crosslingual-train-2562226,fr,en,"Utilisez la couleur de votre choix, mais avec une peinture acrylique. Utilisez une quantité généreuse pour couvrir toute la surface de bois que vous souhaitez craqueler. Vous devez appliquer assez de colle pour que la couche soit opaque. Laissez-la sécher partiellement, jusqu'à ce qu'elle soit encore poisseuse. Appliquez-la sur toute la surface de bois même si la colle est encore poisseuse et laissez sécher. Ceci peut prendre plusieurs heures, lorsque la peinture et la colle ont complètement séché .",Paint your wood. Apply white school glue. Add a second coat of paint. Wait for the crackle effect to start taking place.,['Paint your wood. Apply white school glue. Add a second coat of paint. Wait for the crackle effect to start taking place.']
wikilingua_crosslingual-train-2562330,wikilingua_crosslingual-train-2562330,fr,en,"Les différentes variétés de riz ont toutes des poids et des textures différentes. Pour faciliter le procédé au maximum, essayez de manger ru riz blanc à grains courts assez collant qui forme des tas faciles à ramasser. Le riz complet et le riz blanc long ont tendance à avoir des grains qui se collent beaucoup moins les uns aux autres, ce qui les rend beaucoup plus difficiles à prendre sans les faire tomber.","If you can, choose sticky rice.","['If you can, choose sticky rice.']"
wikilingua_crosslingual-train-2562338,wikilingua_crosslingual-train-2562338,fr,en,"Si vous êtes loin de chez vous et que vous voulez consulter un fichier sur votre PC domestique, il vous suffit juste de vous connecter au site de OneDrive, via un PC et un navigateur. N'importe quel PC convient et il n'a même pas besoin d'être équipé de OneDrive. En haut de la page d'accueil, cliquez sur le bouton Se connecter. Il faudra juste entrer l'adresse e-mail du compte OneDrive ou Microsoft.",Go to the OneDrive website. Sign in.,['Go to the OneDrive website. Sign in.']
wikilingua_crosslingual-train-2562340,wikilingua_crosslingual-train-2562340,fr,en,"Découpez le gâteau en deux avec un fil à découper ou un couteau à beurre et étalez du glaçage ou de la confiture à l’intérieur. Remettez les deux moitiés en place, puis utilisez un couteau à beurre ou une spatule en caoutchouc pour étaler le glaçage sur le dessus et les bords du gâteau.",Decorate your cake.,['Decorate your cake.']
wikilingua_crosslingual-train-2562416,wikilingua_crosslingual-train-2562416,fr,en,"Couvrez le plat avec un couvercle ou du film plastique. Faites ensuite cuire vos ignames pendant 10 minutes, en surveillant la cuisson toutes les 5 minutes. Continuez à faire cuire vos ignames par intervalles de 2 minutes jusqu'à ce qu'elles soient bien tendres. Si vous cuisez vos patates douces entières, retournez-les au milieu du temps de cuisson. Si vous les avez coupées en morceaux, secouez le récipient de temps en temps pour faire bouger les morceaux.",Microwave on high. Finished.,['Microwave on high. Finished.']
wikilingua_crosslingual-train-2562426,wikilingua_crosslingual-train-2562426,fr,en,"Vous avez la possibilité de mettre les saucisses directement dans la poêle ou d’y mettre d’abord deux cuillères à soupe d’huile végétale, de l’eau ou un spray de cuisson, avant de le faire pour qu’elles ne se collent pas à la poêle et brunissent uniformément .  Réglez la cuisinière uniquement sur un feu moyen à moyen vif. Si la poêle devient trop chaude, les saucisses peuvent se fissurer ou se dessécher. Si vous voulez, vous pouvez utiliser un four hollandais.",Heat a skillet over medium heat.,['Heat a skillet over medium heat.']
