gem_id,gem_parent_id,source_language,target_language,source,target,references
wikilingua_multilingual-train-175207,wikilingua_multilingual-train-175207,fr,fr,"Relevez vos frites de patates douces avec du sel, du poivre ou encore un mélange d’épices de votre choix. Servez‑les avec du ketchup, de la mayonnaise, du guacamole  ou l’une de vos propres recettes. S’il vous reste des frites, conservez‑les au réfrigérateur dans un récipient hermétiquement fermé. Vous pouvez ainsi les garder jusqu’à cinq jours.",Assaisonnez et servez vos frites.,['Assaisonnez et servez vos frites.']
wikilingua_multilingual-train-175216,wikilingua_multilingual-train-175216,fr,fr,"Comme vous n’avez jamais été embrassé, vous pourrez avoir des difficultés à détecter les indices dans sa communication non verbale. Vous pourriez dire par exemple :   « l’unique chose que je désire en ce moment est de t’embrasser », « je veux te prouver à quel point tu comptes à mes yeux », « puis-je te donner un baiser de bonne nuit ? »","Allez de l’avant, demandez-lui. Soyez créatif et demandez-lui d’une manière qui la mettra à l’aise.","['Allez de l’avant, demandez-lui. Soyez créatif et demandez-lui d’une manière qui la mettra à l’aise.']"
wikilingua_multilingual-train-175244,wikilingua_multilingual-train-175244,fr,fr,120 à 180 ml de bière légère (Corona est un bon choix) ; 240 ml de téquila gold (la version blanco ne se mélange pas bien à la bière) ; du triple sec selon vos préférences (plus il est sucré et mieux c’est) ; le jus d’un quart ou d’un demi-citron vert ; 1 cuillère à soupe de sucre ; de l’eau gazeuse ; de la glace pilée.,Procurez-vous les ingrédients nécessaires :,['Procurez-vous les ingrédients nécessaires\xa0:']
wikilingua_multilingual-train-175245,wikilingua_multilingual-train-175245,fr,fr,Positionnez une demi-grenade au-dessus d’un bol en orientant les graines exposées vers le bas. Tenez-la par le côté ou posez-la sur votre paume et écartez les doigts. Utilisez un bol moyen ou grand. Il doit être suffisamment grand pour que tous les arilles tombent à l’intérieur.,Tenez une moitié.,['Tenez une moitié.']
wikilingua_multilingual-train-175250,wikilingua_multilingual-train-175250,fr,fr,"Pliez la corde de gauche de façon à ce que l’extrémité croise le milieu en formant une boucle.   Commencez avec un lien dans chaque main (comme dans la première méthode) et repliez celui de gauche sur lui-même pour obtenir une boucle assez grande. Cette méthode permet de réaliser un nœud identique à celui dans la méthode ci-dessus. Là aussi, vous pouvez commencer par réaliser la boucle avec la corde de droite et inverser les côtés dans toutes les étapes pour obtenir le même résultat.",Formez une boucle.,['Formez une boucle.']
wikilingua_multilingual-train-175287,wikilingua_multilingual-train-175287,fr,fr,"Vous pouvez acheter cela dans la pharmacie de votre localité, dans les boutiques d’art et d’artisanat ou chez un vendeur en détail de produits soldés. Veillez à vous procurer un marqueur effaçable à sec noir et non un feutre en couleur. N’oubliez pas de faire d’abord l’essai sur une petite partie discrète avant de l’appliquer sur les grands espaces affectés.",Procurez-vous un marqueur effaçable à sec.,['Procurez-vous un marqueur effaçable à sec.']
wikilingua_multilingual-train-175297,wikilingua_multilingual-train-175297,fr,fr,"C'est à vous de décider si vous voulez un bouton en pierre ou en bois. Choisissez le matériau qui vous convient.  Les pierres se trouvent en creusant le sol. Dans ce cas, vous aurez besoin d'une pioche Silk touch. Sinon, il suffit de creuser pour trouver des gravats, vous les mettez au four et vous obtenez de la pierre. Les planches en bois sont fabriquées avec… du bois.",Récupérez une pierre ou une planche de bois.,['Récupérez une pierre ou une planche de bois.']
wikilingua_multilingual-train-175312,wikilingua_multilingual-train-175312,fr,fr,"La pâte à frire à la bière est lisse et croustillante. Elle est parfaite pour les beignets de poisson, d’ognon et d’autres légumes. Assurez-vous que tous les morceaux que vous allez faire cuire font à peu près la même taille afin d’obtenir une cuisson homogène.",Préparer la nourriture.,['Préparer la nourriture.']
wikilingua_multilingual-train-175538,wikilingua_multilingual-train-175538,fr,fr,"Par exemple, si vous gagnez 200 € en vendant 100 canettes de soda et que leur cout de revient était de 100 €, votre profit brut sera de 100 €. Multipliez ce nombre par 100 pour obtenir un pourcentage, plutôt qu'un nombre à virgules. Par exemple, divisez 100 € par 100 € et vous obtiendrez 1. Si vous multipliez par 100, vous obtiendrez un pourcentage de profit brut de 100 pour cent.",Soustrayez le cout de revient du revenu total généré par les produits. Divisez le profit brut par le cout de revient.,['Soustrayez le cout de revient du revenu total généré par les produits. Divisez le profit brut par le cout de revient.']
wikilingua_multilingual-train-175541,wikilingua_multilingual-train-175541,fr,fr,"En utilisation régulière, l'huile d'argan peut réduire les effets du vieillissement cutané. Massez simplement l'huile sur votre visage et vous verrez votre peau se régénérer au fil du temps. Pour faire disparaitre une cicatrice, massez doucement votre peau avec de l'huile d'argan. Vous devrez alors vous assurer que l'huile que vous utilisez est pure . En appliquant une bonne quantité d'huile d'argan sur les zones de votre corps où vous avez des vergetures, celles-ci seront de moins en moins visibles .",Appliquez l'huile d'argan sur votre visage afin de réhydrater votre peau et de réduire vos rides. Soignez une peau irritée avec de l'huile d'argan. Traitez vos vergetures avec de l'huile d'argan.,"[""Appliquez l'huile d'argan sur votre visage afin de réhydrater votre peau et de réduire vos rides. Soignez une peau irritée avec de l'huile d'argan. Traitez vos vergetures avec de l'huile d'argan.""]"
wikilingua_multilingual-train-175606,wikilingua_multilingual-train-175606,fr,fr,"Massez doucement chaque partie de votre visage une nouvelle fois avant de terminer le massage. À la fin, vous devriez vous sentir plus calme et détendu.",Terminez en revenant une nouvelle fois sur chaque zone.,['Terminez en revenant une nouvelle fois sur chaque zone.']
wikilingua_multilingual-train-175632,wikilingua_multilingual-train-175632,fr,fr,Vous devez voir l'envers du papier et son endroit (la face décorée) doit être posé sur la table.,Posez le papier à l'envers.,"[""Posez le papier à l'envers.""]"
wikilingua_multilingual-train-175675,wikilingua_multilingual-train-175675,fr,fr,"Prenez une brique de jus de fruits ou de lait. Pour faire une voiture plus jolie, peignez-la avec de la peinture acrylique ou couvrez-la avec un ruban adhésif de couleur . Vérifiez bien que le carton de votre brique est en état d’être utilisé.",Choisissez une brique de boisson.,['Choisissez une brique de boisson.']
wikilingua_multilingual-train-175734,wikilingua_multilingual-train-175734,fr,fr,"Pour cette technique, vous aurez besoin de deux ou trois trucs en plus, mais cette pipe est facile à faire et les résultats sont plus sympas.","Prenez une pomme, un couteau, une cuiller et un crayon.","['Prenez une pomme, un couteau, une cuiller et un crayon.']"
